50
35	32	68	94
46	38	100	61
12	24	64	63
23	19	93	51
35	27	54	67
18	10	55	77
6	9	69	79
20	50	97	50
39	33	53	52
6	48	54	98
29	11	73	58
21	45	56	74
34	7	67	83
14	12	60	93
46	19	86	87
30	17	55	98
15	37	90	56
36	11	80	88
8	17	54	84
27	47	83	94
45	16	50	60
34	15	95	64
33	33	53	71
32	49	50	78
6	47	82	81
44	4	67	52
12	48	81	51
34	2	97	78
23	31	54	61
15	19	57	81
28	39	51	55
38	9	87	81
48	27	80	64
48	12	51	62
47	13	58	60
10	30	57	73
24	11	76	61
30	2	97	55
21	22	72	74
26	23	59	98
15	10	59	68
36	6	84	98
20	30	64	66
36	13	91	76
31	7	72	74
25	6	96	93
7	12	60	70
39	19	75	89
2	36	50	74
39	26	74	52
9
