400
29	23	67	73
32	8	57	58
23	5	64	85
37	7	73	55
49	32	96	98
31	21	88	68
50	48	58	53
20	10	99	53
24	20	68	88
41	2	80	59
41	39	53	53
30	47	64	97
9	4	50	97
31	37	55	83
39	20	64	89
45	12	84	85
19	1	52	53
43	49	68	68
46	5	66	77
38	33	88	57
8	40	93	80
40	17	83	96
38	31	65	72
8	32	90	99
32	2	70	73
18	6	65	91
47	33	98	78
29	22	67	51
25	25	85	59
9	48	94	55
7	12	92	89
40	17	52	59
42	16	54	59
18	24	89	66
36	46	68	94
44	4	84	83
49	8	90	53
34	15	56	71
11	28	90	95
44	21	50	55
14	19	94	52
37	28	76	62
8	9	65	75
44	18	68	69
44	3	73	93
14	35	70	67
7	25	93	62
48	46	76	82
3	34	57	96
26	39	64	53
30	50	79	89
31	34	70	82
24	35	98	52
6	16	65	72
17	22	94	83
41	39	57	57
6	25	91	94
43	27	52	84
46	19	59	69
3	50	54	86
9	30	73	96
22	10	63	97
41	26	57	77
8	27	96	66
8	27	61	100
7	12	54	51
46	26	78	89
50	5	54	64
15	7	63	66
5	45	61	96
20	24	92	58
14	39	79	63
8	3	55	77
13	8	63	97
8	10	64	65
11	10	58	76
16	4	86	71
5	9	79	57
20	6	77	85
32	15	85	88
16	2	69	63
7	32	79	64
33	14	87	75
49	19	66	77
11	28	75	72
8	14	78	68
3	3	72	68
9	29	94	50
16	22	55	68
27	23	76	89
16	9	66	59
33	38	92	50
11	15	83	73
31	18	96	76
36	41	98	81
21	47	85	78
26	32	80	87
24	11	82	57
27	9	57	77
36	48	72	63
46	10	67	60
46	32	58	70
46	8	88	82
30	36	100	78
41	22	75	87
40	39	94	89
47	3	84	59
43	50	58	62
1	4	62	83
12	40	55	54
48	40	57	91
6	9	85	90
19	8	75	50
37	12	60	52
23	6	55	56
3	20	63	91
42	16	55	69
5	48	68	94
2	8	70	72
32	34	71	81
19	18	63	77
1	43	65	94
17	50	56	99
15	49	71	83
39	14	62	88
37	40	72	94
1	31	97	99
14	10	76	74
40	34	67	90
39	15	54	55
16	34	88	78
4	43	92	52
25	4	57	62
30	15	88	98
20	17	57	93
10	50	69	71
10	16	89	54
16	21	81	73
36	12	87	60
29	45	53	60
48	17	79	70
33	34	65	58
41	16	70	82
3	13	54	88
4	35	60	77
35	40	54	65
7	39	73	75
31	18	78	76
21	11	94	78
12	50	97	50
6	43	74	81
37	35	63	94
33	4	71	76
37	35	92	90
38	40	57	91
41	4	63	96
36	15	74	71
24	50	87	92
4	11	63	63
41	40	73	97
11	30	81	96
10	13	85	55
29	3	52	50
12	14	94	63
16	34	55	74
48	8	88	70
25	28	65	73
40	18	76	83
42	11	85	71
14	35	51	53
44	35	68	91
17	41	67	65
5	44	74	91
13	6	56	75
44	11	68	92
16	15	69	70
24	12	82	69
4	34	91	88
23	7	61	93
8	30	60	96
13	48	55	63
42	5	61	72
19	26	58	99
7	39	65	83
37	30	69	92
8	22	64	69
2	2	86	83
3	32	59	63
44	38	97	71
10	7	55	88
44	44	90	51
25	48	65	59
37	48	94	93
40	50	83	74
21	44	65	86
39	44	67	77
26	7	76	50
44	39	69	64
29	47	85	69
28	44	64	96
27	46	59	89
33	15	91	72
2	34	61	78
30	21	92	76
40	17	91	81
39	11	74	72
33	44	63	53
41	11	73	89
44	25	100	99
26	28	93	80
19	12	76	62
2	21	99	63
3	42	99	56
26	21	87	68
48	48	52	67
48	42	96	72
48	24	72	89
46	45	92	91
20	3	91	69
28	50	62	95
33	22	63	58
9	19	65	66
48	26	66	87
2	6	76	96
42	19	52	52
26	44	63	63
10	24	90	73
22	32	73	63
50	30	95	79
32	33	78	84
4	10	79	85
41	40	78	54
29	18	58	72
4	24	82	83
17	11	61	100
39	30	57	60
50	12	71	68
5	8	54	84
17	21	93	69
43	31	63	92
15	46	95	73
41	14	99	63
17	47	51	91
48	25	76	68
4	49	78	70
33	9	84	63
19	8	58	92
24	14	90	67
13	22	64	52
36	8	69	89
4	19	69	57
11	20	78	88
27	41	56	60
45	7	71	51
22	47	66	56
44	1	71	78
10	7	99	78
21	23	62	70
46	43	86	64
25	20	55	55
49	43	96	83
39	25	89	60
25	17	64	97
28	1	72	99
45	36	66	62
22	3	84	92
44	7	88	64
45	45	81	93
9	34	70	67
16	33	87	96
26	34	86	66
20	9	78	85
28	38	66	77
50	15	50	88
9	36	94	91
26	33	93	85
14	41	94	53
36	49	90	87
19	43	75	62
26	28	74	77
14	40	92	78
34	12	69	77
6	11	65	67
46	33	56	94
19	26	76	56
32	45	89	87
34	49	84	80
21	5	91	77
48	29	94	85
19	21	50	57
9	29	97	68
16	11	95	70
15	4	61	64
23	9	58	51
25	11	66	100
19	48	78	55
26	31	92	89
28	33	64	93
14	20	58	50
29	27	79	57
41	7	59	75
36	24	83	96
32	22	51	59
14	50	71	100
18	30	100	95
1	48	95	71
20	25	97	85
15	2	51	81
33	25	59	57
2	44	71	57
24	40	58	79
5	27	63	96
15	17	56	63
18	20	82	70
15	14	76	84
23	46	79	74
41	45	54	73
45	2	74	78
6	22	100	94
23	4	100	75
27	49	86	93
14	44	53	74
49	48	90	95
31	26	74	56
17	2	94	97
42	22	70	80
3	25	68	95
22	5	68	58
14	20	96	62
49	19	69	92
48	13	93	50
43	33	80	88
35	21	86	92
3	15	99	81
49	8	84	50
3	28	99	83
7	12	58	71
41	46	69	51
22	44	53	58
44	5	70	59
36	9	57	72
31	20	77	69
8	35	74	50
24	9	96	60
16	24	50	79
3	7	57	87
43	25	63	84
12	15	98	96
13	26	56	88
18	38	84	80
15	45	90	67
6	19	63	94
31	15	78	83
45	48	56	87
31	43	89	71
23	19	93	84
37	26	57	66
32	21	73	85
2	20	62	86
50	32	80	70
34	46	56	77
36	35	96	88
12	21	71	86
34	26	99	90
47	49	52	79
43	34	90	70
50	15	97	67
50	13	66	80
36	25	81	51
45	33	76	78
39	43	60	90
50	6	92	62
36	28	90	70
30	32	83	56
21	49	91	50
5	29	100	89
17	7	71	58
15	21	62	94
1	7	52	69
34	12	64	91
45	27	81	53
32	45	65	99
13	50	84	68
3	28	82	68
17	31	94	67
10	28	81	69
23	24	68	63
32	42	52	80
31	36	97	76
43	30	67	57
25	38	59	66
38	10	92	99
34	42	71	63
8	49	70	71
25	28	63	65
31	48	94	93
31	24	70	53
39	17	57	85
45	49	97	91
15	48	93	56
236
